# BUSCO version is: 6.1.0 
# The lineage dataset is: bacteria_odb12.2 (Creation date: 2026-05-22, number of genomes: 3130, number of BUSCOs: 116)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
9805462at2	Complete	k141_27	12191	12655	+	209.9	149	https://v12-2.orthodb.org/?query=9805462at2	SsrA-binding protein
9805609at2	Complete	k141_58	68279	68091	-	83.3	60	https://v12-2.orthodb.org/?query=9805609at2	peptidase T
9805706at2	Complete	k141_62	19622	20566	+	349.2	269	https://v12-2.orthodb.org/?query=9805706at2	DNA-directed RNA polymerase alpha subunit
9805969at2	Complete	k141_62	10199	10552	+	138.2	103	https://v12-2.orthodb.org/?query=9805969at2	Ribosomal protein L22
9806014at2	Complete	k141_34	49825	50385	+	254.3	170	https://v12-2.orthodb.org/?query=9806014at2	translation initiation factor 3
9806135at2	Complete	k141_62	7372	8034	+	293.0	206	https://v12-2.orthodb.org/?query=9806135at2	Ribosomal protein L3
9806197at2	Complete	k141_18	13100	14125	+	354.1	281	https://v12-2.orthodb.org/?query=9806197at2	O-sialoglycoprotein endopeptidase
9806379at2	Complete	k141_62	12184	12552	+	146.0	106	https://v12-2.orthodb.org/?query=9806379at2	ribosomal protein L14
9806396at2	Complete	k141_62	10576	11229	+	269.5	187	https://v12-2.orthodb.org/?query=9806396at2	Ribosomal protein S3
9806415at2	Complete	k141_62	19158	19547	+	208.3	119	https://v12-2.orthodb.org/?query=9806415at2	Ribosomal protein S11
9806626at2	Complete	k141_62	12932	13471	+	294.7	176	https://v12-2.orthodb.org/?query=9806626at2	Ribosomal protein L5
9806637at2	Complete	k141_58	16384	17319	+	243.9	238	https://v12-2.orthodb.org/?query=9806637at2	methyltransferase
9806651at2	Complete	k141_41	17883	15898	-	952.5	590	https://v12-2.orthodb.org/?query=9806651at2	excinuclease ABC subunit B
9806661at2	Complete	k141_15	17328	16846	-	232.1	156	https://v12-2.orthodb.org/?query=9806661at2	pantetheine-phosphate adenylyltransferase
9806954at2	Complete	k141_8	122524	124203	+	589.7	539	https://v12-2.orthodb.org/?query=9806954at2	ATPase
9807019at2	Complete	k141_52	35999	34638	-	597.2	423	https://v12-2.orthodb.org/?query=9807019at2	chromosomal replication initiation protein A
9807064at2	Complete	k141_39	61188	62159	+	127.7	197	https://v12-2.orthodb.org/?query=9807064at2	biotin-
9807233at2	Complete	k141_58	119902	121077	+	375.0	315	https://v12-2.orthodb.org/?query=9807233at2	nusA
9807240at2	Complete	k141_15	67493	66246	-	512.7	415	https://v12-2.orthodb.org/?query=9807240at2	phosphoribosylamine-glycine ligase
9807416at2	Complete	k141_58	86010	86747	+	251.1	195	https://v12-2.orthodb.org/?query=9807416at2	tRNA guanine-N1 methyltransferase
9807419at2	Complete	k141_62	12588	12905	+	76.8	69	https://v12-2.orthodb.org/?query=9807419at2	Ribosomal protein L24
9807458at2	Complete	k141_58	108102	108824	+	346.0	230	https://v12-2.orthodb.org/?query=9807458at2	Uridylate kinase
9807553at2	Complete	k141_52	14067	12784	-	644.1	427	https://v12-2.orthodb.org/?query=9807553at2	Adenylosuccinate synthetase
9807653at2	Complete	k141_42	32451	32921	+	236.9	145	https://v12-2.orthodb.org/?query=9807653at2	Ribosomal protein S7
9807878at2	Complete	k141_58	85044	85319	+	107.7	71	https://v12-2.orthodb.org/?query=9807878at2	Ribosomal protein S16
9808036at2	Complete	k141_58	106135	106902	+	318.2	200	https://v12-2.orthodb.org/?query=9808036at2	Ribosomal protein S2
9808150at2	Complete	k141_58	51968	52591	+	253.4	188	https://v12-2.orthodb.org/?query=9808150at2	Guanylate kinase
9808348at2	Complete	k141_58	107084	107965	+	202.0	167	https://v12-2.orthodb.org/?query=9808348at2	EF-Ts
9808773at2	Complete	k141_52	40821	41540	+	151.7	150	https://v12-2.orthodb.org/?query=9808773at2	methyltransferase
9808936at2	Complete	k141_39	130998	132068	+	295.0	347	https://v12-2.orthodb.org/?query=9808936at2	UDP-N-acetylglucosamine:N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
9808966at2	Complete	k141_34	50661	51017	+	171.8	111	https://v12-2.orthodb.org/?query=9808966at2	ribosomal protein L20
9809045at2	Complete	k141_62	15081	15581	+	257.2	162	https://v12-2.orthodb.org/?query=9809045at2	Ribosomal protein S5
9809052at2	Complete	k141_58	112847	114550	+	347.0	288	https://v12-2.orthodb.org/?query=9809052at2	prolyl-tRNA synthetase
9809073at2	Complete	k141_62	20583	20951	+	135.6	105	https://v12-2.orthodb.org/?query=9809073at2	Ribosomal protein L17
9809075at2	Complete	k141_42	19940	20488	+	156.7	149	https://v12-2.orthodb.org/?query=9809075at2	Transcription antitermination protein NusG
9809084at2	Complete	k141_22	6414	7253	+	268.2	235	https://v12-2.orthodb.org/?query=9809084at2	methyltransferase
9809248at2	Complete	k141_62	16234	17526	+	513.3	417	https://v12-2.orthodb.org/?query=9809248at2	preprotein translocase subunit SecY
9809356at2	Complete	k141_34	67803	69074	+	375.5	384	https://v12-2.orthodb.org/?query=9809356at2	Folylpolyglutamate synthase
9809796at2	Complete	k141_58	21208	22557	+	427.5	404	https://v12-2.orthodb.org/?query=9809796at2	UDP-N-acetylmuramoylalanine--D-glutamate ligase
9810191at2	Complete	k141_22	7538	9511	+	731.1	630	https://v12-2.orthodb.org/?query=9810191at2	tRNA synthetase
9810293at2	Complete	k141_62	15794	16234	+	83.7	109	https://v12-2.orthodb.org/?query=9810293at2	ribosomal protein L15
9810939at2	Complete	k141_62	14701	15060	+	173.0	118	https://v12-2.orthodb.org/?query=9810939at2	Ribosomal protein L18
9811714at2	Complete	k141_62	11889	12152	+	119.6	74	https://v12-2.orthodb.org/?query=9811714at2	Ribosomal protein S17
9811748at2	Complete	k141_42	22806	23174	+	88.2	92	https://v12-2.orthodb.org/?query=9811748at2	ribosomal protein L7/L12
9811804at2	Complete	k141_58	121701	123818	+	986.9	667	https://v12-2.orthodb.org/?query=9811804at2	Translation initiation factor
9812008at2	Complete	k141_23	67855	68097	+	104.9	48	https://v12-2.orthodb.org/?query=9812008at2	ribosomal protein S18
9812272at2	Complete	k141_58	164976	166214	+	475.9	393	https://v12-2.orthodb.org/?query=9812272at2	GTP-binding protein
9812273at2	Complete	k141_39	45753	46751	+	306.5	284	https://v12-2.orthodb.org/?query=9812273at2	glycerol-3-phosphate dehydrogenase
9812702at2	Complete	k141_23	66983	67279	+	80.6	86	https://v12-2.orthodb.org/?query=9812702at2	Ribosomal protein S6
9812769at2	Complete	k141_30	31210	32076	+	343.6	281	https://v12-2.orthodb.org/?query=9812769at2	ATP synthase
9812943at2	Complete	k141_34	40540	41163	+	156.5	172	https://v12-2.orthodb.org/?query=9812943at2	kinase
9813334at2	Complete	k141_8	3585	3893	+	141.0	102	https://v12-2.orthodb.org/?query=9813334at2	Ribosomal protein L21
9813375at2	Complete	k141_58	25443	26615	+	406.0	290	https://v12-2.orthodb.org/?query=9813375at2	cell division protein
9814755at2	Complete	k141_22	11029	11922	+	179.5	178	https://v12-2.orthodb.org/?query=9814755at2	methyltransferase
9815296at2	Complete	k141_42	27860	31483	+	1390.2	864	https://v12-2.orthodb.org/?query=9815296at2	DNA-directed RNA polymerase subunit beta'
