#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_26	8532	12473	+	OAKKFK_01022	139.5	4.4	PF07564.17|DUF1542	PFAM:PF07564.17
contig_28	69075	69320	-	OAKKFK_01108	9.3	9.2		SO:0001217, UniRef:UniRef50_Q2FZM9
contig_28	71581	71697	-	OAKKFK_01111	4.5	11.2		SO:0001217, UniRef:UniRef50_Q2FZM3
contig_29	519	1202	+	OAKKFK_01137	26.5	8.9		
contig_30	28492	28635	-	OAKKFK_01167	5.1	4.9		
contig_30	38370	38576	+	OAKKFK_01179	7.8	7.8	PF13443.12|HTH_26	PFAM:PF13443.12
contig_30	39033	39218	+	OAKKFK_01182	7.3	4.5	PF23767.1|DUF7166	PFAM:PF23767.1
contig_30	59482	60519	-	OAKKFK_01206	40.3	9.7	PF13102.12|Phage_int_SAM_5, PF14659.12|Phage_int_SAM_3	PFAM:PF13102.12, PFAM:PF14659.12
contig_30	60582	60824	-	OAKKFK_01207	9.6	5.0		SO:0001217, UniRef:UniRef50_A0A0H2FNK8
contig_30	67016	67177	+	OAKKFK_01220	6.2	6.1		
contig_30	67579	67839	+	OAKKFK_01222	10.2	4.6		
contig_30	67848	68111	+	OAKKFK_01223	10.5	9.3		SO:0001217, UniRef:UniRef50_A0A0N9RRW1
contig_30	71198	71683	+	OAKKFK_01226	18.3	6.7		
contig_31	132	287	+	OAKKFK_01231	5.5	10.3	PF00746.26|Gram_pos_anchor	PFAM:PF00746.26
contig_32	188	343	+	OAKKFK_01232	5.5	10.3	PF00746.26|Gram_pos_anchor	PFAM:PF00746.26
contig_32	14124	14393	+	OAKKFK_01246	10.4	4.6		
contig_32	16939	17319	+	OAKKFK_01250	14.3	5.8		
contig_32	30617	32011	+	OAKKFK_01265	51.0	6.3		SO:0001217, UniRef:UniRef50_A0A9X7QNN7
contig_34	19797	20066	+	OAKKFK_01320	10.0	10.4		
contig_34	38244	38438	+	OAKKFK_01339	6.9	8.1		SO:0001217, UniRef:UniRef50_A0A2U0IK15
contig_34	38727	39041	-	OAKKFK_01340	11.8	5.6		SO:0001217, UniRef:UniRef50_A0A2K4AJX9
contig_34	67321	67473	+	OAKKFK_01369	5.7	10.2		
contig_34	76909	77865	+	OAKKFK_01380	35.6	4.7		
contig_35	6799	7395	+	OAKKFK_01392	22.5	4.7		
contig_35	8583	8897	+	OAKKFK_01395	11.8	5.1	PF05135.19|Phage_connect_1	PFAM:PF05135.19
contig_35	11543	14512	+	OAKKFK_01402	106.3	9.3	PF05017.19|TMP	PFAM:PF05017.19
contig_35	19270	21093	+	OAKKFK_01406	66.8	4.8	PF10651.15|BppU_N	PFAM:PF10651.15
contig_35	29849	30238	-	OAKKFK_01417	13.6	7.9	PF04650.22|YSIRK_signal	PFAM:PF04650.22
contig_35	58639	59145	+	OAKKFK_01443	19.7	9.3		SO:0001217, UniRef:UniRef50_Q2FZB9
contig_37	8022	8228	+	OAKKFK_01471	7.8	4.6		
contig_38	480	722	+	OAKKFK_01491	8.9	8.9	PF13354.11|Beta-lactamase2	PFAM:PF13354.11
contig_38	5587	6279	+	OAKKFK_01499	26.1	9.2		SO:0001217, UniRef:UniRef50_Q1XG25
contig_38	6447	6596	-	OAKKFK_01500	6.0	9.2		
contig_38	7151	7321	-	OAKKFK_01501	6.3	5.5		
contig_38	9797	9982	-	OAKKFK_01505	7.5	9.0		
contig_38	10541	10780	-	OAKKFK_01506	9.2	9.0	PF01381.28|HTH_3, PF07022.19|Phage_CI_repr, PF12844.13|HTH_19, PF13443.12|HTH_26, PF13560.12|HTH_31	PFAM:PF01381.28, PFAM:PF07022.19, PFAM:PF12844.13, PFAM:PF13443.12, PFAM:PF13560.12
contig_38	12925	13302	-	OAKKFK_01510	15.2	10.1		
contig_39	107	304	-	OAKKFK_01524	7.9	8.0		
contig_42	112	351	-	OAKKFK_01579	9.3	6.2		SO:0001217, UniRef:UniRef50_Q5HK25
contig_42	766	2022	-	OAKKFK_01580	48.6	5.5	PF12102.13|MrcB_N	PFAM:PF12102.13, SO:0001217, UniRef:UniRef50_I2FI09
contig_43	43260	43805	+	OAKKFK_01653	20.9	5.6	PF13302.13|Acetyltransf_3, PF13420.13|Acetyltransf_4, PF13523.12|Acetyltransf_8	PFAM:PF13302.13, PFAM:PF13420.13, PFAM:PF13523.12
contig_43	48086	48691	-	OAKKFK_01657	23.3	9.3		
contig_43	64239	65120	+	OAKKFK_01672	32.2	9.3	PF00924.24|MS_channel_2nd, PF21082.3|MS_channel_3rd, PF21088.2|MS_channel_1st	PFAM:PF00924.24, PFAM:PF21082.3, PFAM:PF21088.2
contig_43	74395	74781	-	OAKKFK_01688	14.2	7.9		SO:0001217, UniRef:UniRef50_A0A2K4AJS7
contig_43	74840	74935	+	OAKKFK_01689	3.6	9.5		
contig_43	75747	75992	-	OAKKFK_01691	9.6	6.3		
contig_43	83858	84088	-	OAKKFK_01698	8.9	9.4	PF12645.13|HTH_16	PFAM:PF12645.13
contig_47	48778	48954	-	OAKKFK_01763	6.7	10.1		
contig_47	60608	60982	-	OAKKFK_01779	14.4	5.0		
contig_47	61371	61523	-	OAKKFK_01781	5.8	4.7		
contig_47	72218	72859	-	OAKKFK_01787	23.8	5.0		
contig_47	81136	81342	-	OAKKFK_01802	7.8	6.1		
contig_48	19494	19838	+	OAKKFK_01830	13.3	7.8		
contig_48	23605	23799	+	OAKKFK_01835	7.3	8.1		
contig_49	3223	3600	-	OAKKFK_01845	14.8	10.1		
contig_50	11513	12508	+	OAKKFK_01859	35.9	5.2		
contig_50	13692	14264	+	OAKKFK_01862	22.3	6.1		SO:0001217, UniRef:UniRef50_A0A9X4L6S9
contig_50	15382	15474	-	OAKKFK_01864	3.6	9.4		
contig_50	16062	16562	-	OAKKFK_01866	19.9	9.6		
contig_51	25971	26462	-	OAKKFK_01888	18.0	6.9		
contig_51	27873	31697	-	OAKKFK_01890	144.5	5.1	PF01580.24|FtsK_SpoIIIE, PF09397.16|FtsK_gamma, PF17854.6|FtsK_alpha	PFAM:PF01580.24, PFAM:PF09397.16, PFAM:PF17854.6
contig_51	41407	41829	-	OAKKFK_01902	15.7	8.9		
contig_51	70678	70902	-	OAKKFK_01923	9.0	4.9		
contig_51	74901	75203	+	OAKKFK_01929	11.6	10.2		SO:0001217, UniRef:UniRef50_Q5HND2
contig_52	25	183	+	OAKKFK_01932	5.4	4.4		
contig_54	2967	3254	+	OAKKFK_01993	11.0	4.9		
contig_54	4571	4663	+	OAKKFK_01995	3.3	4.5		
contig_54	55807	56466	-	OAKKFK_02043	25.8	7.7		
contig_54	86714	86896	+	OAKKFK_02074	7.0	10.1		SO:0001217, UniRef:UniRef50_Q2G1U7
contig_54	123781	124395	+	OAKKFK_02108	22.8	5.9		
contig_54	179958	180287	-	OAKKFK_02161	13.2	8.8		SO:0001217, UniRef:UniRef50_A0A6B1RKM0
contig_54	212888	213658	+	OAKKFK_02197	29.7	4.6	PF13508.13|Acetyltransf_7, PF13673.13|Acetyltransf_10, PF18467.7|DUF5613	PFAM:PF13508.13, PFAM:PF13673.13, PFAM:PF18467.7
contig_54	221466	221699	+	OAKKFK_02208	8.9	4.5	PF02597.26|ThiS	PFAM:PF02597.26
contig_54	226938	227189	-	OAKKFK_02216	9.6	10.2		SO:0001217, UniRef:UniRef50_Q2FVZ3
contig_54	234479	234682	-	OAKKFK_02223	7.7	5.7		
contig_54	239459	239818	+	OAKKFK_02229	14.0	5.9		
contig_54	267839	268120	-	OAKKFK_02248	11.1	9.6		SO:0001217, UniRef:UniRef50_Q2G1G3
contig_54	275424	277142	+	OAKKFK_02255	67.9	9.5		SO:0001217, UniRef:UniRef50_A0A390LUC3
contig_54	278365	278553	+	OAKKFK_02258	7.1	9.4		
contig_54	278582	278740	+	OAKKFK_02259	5.8	8.7	PF01381.28|HTH_3, PF13443.12|HTH_26	PFAM:PF01381.28, PFAM:PF13443.12
contig_54	301662	302429	-	OAKKFK_02278	29.9	7.3	PF02518.31|HATPase_c, PF06580.19|His_kinase	PFAM:PF02518.31, PFAM:PF06580.19
contig_54	302377	303219	-	OAKKFK_02279	33.2	9.1		
contig_54	325158	325331	-	OAKKFK_02294	6.6	10.5		
contig_54	336922	337068	+	OAKKFK_02304	5.5	9.3		
contig_54	337092	338135	+	OAKKFK_02305	38.4	5.8	PF00107.32|ADH_zinc_N, PF01262.27|AlaDh_PNT_C, PF08240.17|ADH_N	PFAM:PF00107.32, PFAM:PF01262.27, PFAM:PF08240.17
contig_54	369823	371346	-	OAKKFK_02335	57.9	7.5		SO:0001217, UniRef:UniRef50_Q2G193
contig_54	371677	372579	-	OAKKFK_02336	33.4	5.9	PF05257.22|CHAP	PFAM:PF05257.22
contig_55	7495	7809	+	OAKKFK_02356	11.4	6.7		SO:0001217, UniRef:UniRef50_Q2FZY1
contig_55	15078	15272	-	OAKKFK_02363	7.0	5.2	PF05532.17|CsbD	PFAM:PF05532.17
contig_55	20781	20894	-	OAKKFK_02371	4.3	10.0		
contig_55	25423	25743	+	OAKKFK_02379	11.8	9.1		
contig_55	25740	26039	+	OAKKFK_02380	10.7	9.8		
contig_55	27697	27957	+	OAKKFK_02384	9.9	4.2		
contig_55	29365	29583	+	OAKKFK_02388	8.0	4.8		SO:0001217, UniRef:UniRef50_Q2G008
contig_57	12483	12617	+	OAKKFK_02409	4.5	5.4		
contig_57	39464	40771	+	OAKKFK_02436	46.6	8.9		
contig_57	48683	48895	+	OAKKFK_02443	8.1	7.0		SO:0001217, UniRef:UniRef50_A0A2K4ADL6
contig_57	68091	68279	-	OAKKFK_02461	7.0	12.0		
contig_57	82884	83216	+	OAKKFK_02473	13.6	4.7	PF04545.22|Sigma70_r4, PF08281.18|Sigma70_r4_2	PFAM:PF04545.22, PFAM:PF08281.18
contig_57	131641	134007	+	OAKKFK_02513	88.0	8.7	PF01580.24|FtsK_SpoIIIE, PF09397.16|FtsK_gamma, PF17854.6|FtsK_alpha	PFAM:PF01580.24, PFAM:PF09397.16, PFAM:PF17854.6
contig_57	170715	170843	+	OAKKFK_02547	5.2	10.1		
contig_57	173472	173576	+	OAKKFK_02551	4.2	9.8		
contig_57	174001	174237	+	OAKKFK_02553	9.0	6.8		
contig_57	174319	174612	+	OAKKFK_02554	11.5	9.5		
contig_57	174678	174872	+	OAKKFK_02555	7.3	6.1		
contig_57	182036	182224	-	OAKKFK_02563	7.0	9.8		
contig_57	231978	232256	+	OAKKFK_02606	10.0	4.9		
contig_57	232237	233010	+	OAKKFK_02607	28.5	5.4		
contig_59	166	390	+	OAKKFK_02633	7.8	6.5	PF00089.32|Trypsin	PFAM:PF00089.32
contig_60	34	597	+	OAKKFK_02634	19.7	4.1	PF00746.26|Gram_pos_anchor	PFAM:PF00746.26
contig_60	4079	4279	+	OAKKFK_02640	7.7	9.1		SO:0001217, UniRef:UniRef50_Q2FUY8
contig_60	31008	31424	-	OAKKFK_02661	16.4	9.0		SO:0001217, UniRef:UniRef50_Q2FV18
contig_60	46463	46576	+	OAKKFK_02676	4.6	7.9		
contig_60	46613	46888	-	OAKKFK_02677	10.7	5.4		
contig_60	49855	50193	+	OAKKFK_02681	13.7	5.4		SO:0001217, UniRef:UniRef50_A0A6A9GUL6
contig_60	60013	60333	-	OAKKFK_02694	12.5	9.0		SO:0001217, UniRef:UniRef50_A0A0H3K4R4
contig_60	80494	81093	+	OAKKFK_02711	22.1	5.3	PF00132.30|Hexapep, PF12464.13|Mac, PF14602.12|Hexapep_2	PFAM:PF00132.30, PFAM:PF12464.13, PFAM:PF14602.12
contig_60	88829	88999	+	OAKKFK_02717	6.3	9.1		
contig_60	93689	94966	+	OAKKFK_02721	46.2	5.8		
contig_60	104994	105323	-	OAKKFK_02733	12.3	5.8	PF00892.27|EamA	PFAM:PF00892.27
contig_60	105345	105956	-	OAKKFK_02734	22.6	10.0	PF00892.27|EamA	PFAM:PF00892.27
contig_60	106112	106315	-	OAKKFK_02735	7.6	7.1		SO:0001217, UniRef:UniRef50_Q2FV92
contig_60	117234	117518	-	OAKKFK_02748	10.6	4.9	PF13673.13|Acetyltransf_10, PF14542.12|Acetyltransf_CG	PFAM:PF13673.13, PFAM:PF14542.12, SO:0001217, UniRef:UniRef50_Q4L916
contig_61	6290	6679	-	OAKKFK_02772	14.6	9.7		
contig_61	27920	28144	+	OAKKFK_02811	8.5	9.2		
contig_61	30235	30339	+	OAKKFK_02812	3.9	9.7		
contig_61	31066	31695	+	OAKKFK_02814	25.1	9.5	PF24390.1|PRTase-CE	PFAM:PF24390.1, SO:0001217, UniRef:UniRef50_A0A0H3JRB6
contig_61	33684	33854	-	OAKKFK_02816	6.9	8.0		
contig_61	36995	37420	-	OAKKFK_02819	15.4	9.2	PF03642.18|MAP	PFAM:PF03642.18
contig_62	11	385	+	OAKKFK_02858	11.2	4.1		
