# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_7	cds	4244	5371	+	OAKKFK_00030	396.0	2.3e-134	0.997	0.835	0.524	UniRef:UniRef50_P97030
contig_7	cds	5376	5846	+	OAKKFK_00031	178.0	8.4e-56	1.0	0.834	0.558	UniRef:UniRef50_A0A1J4XRH7
contig_7	cds	6005	6604	+	OAKKFK_00032	387.0	2.0e-137	1.0	0.957	1.0	UniRef:UniRef50_Q2FX90
contig_7	cds	6629	6781	+	OAKKFK_00033	62.8	1.1e-13	0.860	0.811	0.767	UniRef:UniRef50_G5JFE7
contig_7	cds	7329	7724	+	OAKKFK_00034	140.0	7.9e-42	0.985	0.928	0.566	UniRef:UniRef50_A0A151A458
contig_7	cds	7920	9305	+	OAKKFK_00035	580.0	2.9e-205	0.998	0.977	0.624	UniRef:UniRef50_Q9KCX4
contig_7	cds	9758	10579	-	OAKKFK_00036	442.0	1.1e-156	1.0	0.982	0.773	UniRef:UniRef50_A0A239YUZ3
contig_7	cds	10742	11854	+	OAKKFK_00037	449.0	2.6e-156	0.986	0.951	0.619	UniRef:UniRef50_A0A380G577
contig_7	cds	11876	12499	+	OAKKFK_00038	318.0	5.7e-110	1.0	0.941	0.763	UniRef:UniRef50_S2XG46
contig_7	cds	12855	13319	+	OAKKFK_00039	280.0	1.5e-96	0.994	0.950	0.876	UniRef:UniRef50_Q2FX98
contig_7	cds	13498	14622	+	OAKKFK_00040	400.0	4.2e-137	1.005	0.977	0.561	UniRef:UniRef50_Q2FX99
contig_7	cds	14691	15035	+	OAKKFK_00041	120.0	1.1e-34	0.974	0.888	0.595	UniRef:UniRef50_Q2FXA0
contig_7	cds	15963	17159	+	OAKKFK_00042	794.0	6.0e-292	1.0	0.993	1.0	UniRef:UniRef50_Q2G2S7
contig_7	cds	17149	20085	+	OAKKFK_00043	1357.0	0.0	1.053	1.0	0.696	UniRef:UniRef50_B9DMY3
contig_7	cds	20082	21023	+	OAKKFK_00044	507.0	1.4e-180	1.150	1.0	0.708	UniRef:UniRef50_Q9KDN6
contig_7	cds	21144	22106	-	OAKKFK_00045	330.0	9.8e-111	0.991	0.932	0.577	UniRef:UniRef50_Q2G2S6
contig_7	cds	22311	22868	-	OAKKFK_00046	338.0	1.4e-118	0.941	0.870	1.0	UniRef:UniRef50_Q2G2S9
contig_7	cds	23603	23968	-	OAKKFK_00047	-	-	-	-	-	-
contig_7	cds	24110	24532	-	OAKKFK_00048	252.0	1.3e-85	1.0	0.854	0.836	UniRef:UniRef50_A0A1D2KB85
contig_7	cds	24666	25406	+	OAKKFK_00049	303.0	2.9e-102	0.976	0.811	0.600	UniRef:UniRef50_A0A0M9FN87
contig_7	cds	25399	26622	+	OAKKFK_00050	494.0	3.8e-173	1.0	0.981	0.614	UniRef:UniRef50_Q2G2F2
contig_7	cds	26746	27249	-	OAKKFK_00051	342.0	1.0e-122	1.0	1.0	1.0	BlastRules:WP_000737976
contig_7	cds	27512	28549	+	OAKKFK_00052	449.0	1.1e-156	0.994	0.866	0.627	UniRef:UniRef50_P32395
contig_7	cds	28607	29530	+	OAKKFK_00053	375.0	2.4e-129	0.987	0.959	0.574	UniRef:UniRef50_A0A1E5TMB8
contig_7	cds	29554	30954	+	OAKKFK_00054	778.0	4.8e-283	1.0	0.967	0.818	UniRef:UniRef50_Q2FXA5
contig_7	cds	31277	31831	+	OAKKFK_00055	276.0	4.2e-94	1.0	0.929	0.696	UniRef:UniRef50_Q2FXA7
contig_7	ncRNA	32157	32251	+	OAKKFK_00056	96.4	1.8e-13	-	-	-	RFAM:RF02896
contig_7	tRNA	32232	32305	+	OAKKFK_00057	65.1	-	-	-	-	-
contig_7	tRNA	32327	32402	+	OAKKFK_00058	81.1	-	-	-	-	-
contig_7	tRNA	32419	32491	+	OAKKFK_00059	69.3	-	-	-	-	-
contig_7	tRNA	32505	32580	+	OAKKFK_00060	65.8	-	-	-	-	-
contig_7	tRNA	32596	32669	+	OAKKFK_00061	79.0	-	-	-	-	-
contig_7	tRNA	32687	32761	+	OAKKFK_00062	80.0	-	-	-	-	-
contig_7	tRNA	32763	32834	+	OAKKFK_00063	69.8	-	-	-	-	-
contig_7	tRNA	32889	32977	+	OAKKFK_00064	69.7	-	-	-	-	-
contig_7	cds	33209	33973	+	OAKKFK_00065	-	-	1.0	0.977	1.0	NCBIProtein:BAB42916.1
contig_7	cds	34254	34973	+	OAKKFK_00066	-	-	1.0	1.0	0.941	NCBIProtein:SGR88215.1
contig_7	cds	35008	35736	+	OAKKFK_00067	-	-	1.0	0.996	0.938	NCBIProtein:SGR88193.1
contig_7	cds	35890	36291	+	OAKKFK_00068	-	-	-	-	-	-
contig_7	cds	36266	36661	+	OAKKFK_00069	-	-	1.0	0.502	0.947	NCBIProtein:SGR88168.1
contig_7	cds	36700	37455	+	OAKKFK_00070	-	-	1.0	0.923	1.0	NCBIProtein:SAO78304.1
contig_7	cds	37738	38514	+	OAKKFK_00071	514.0	5.4e-188	1.0	1.0	0.977	BlastRules:WP_031927817
contig_7	cds	39066	39842	-	OAKKFK_00072	308.0	2.4e-104	1.0	0.977	0.578	UniRef:UniRef50_A0A6N2YQA1
contig_7	cds	39863	40099	-	OAKKFK_00073	-	-	-	-	-	-
contig_7	cds	40177	40671	-	OAKKFK_00074	-	-	-	-	-	-
contig_7	cds	41505	42293	-	OAKKFK_00075	511.0	2.4e-184	0.989	0.977	0.996	UniRef:UniRef50_Q2FXA8
contig_7	cds	42663	42761	-	OAKKFK_00076	-	-	-	-	-	-
contig_7	ncRNA	42999	43148	+	OAKKFK_00077	176.9	2.2e-26	-	-	-	RFAM:RF02890
contig_7	cds	43657	44592	+	OAKKFK_00078	-	-	1.0	1.0	0.997	NCBIProtein:RCV70079.1
contig_7	cds	44594	45577	+	OAKKFK_00079	-	-	1.0	1.0	0.942	NCBIProtein:CAA73668.1
contig_7	cds	45947	46738	-	OAKKFK_00080	498.0	4.5e-179	1.027	1.0	0.956	UniRef:UniRef50_A0A1M7FXN5
contig_7	cds	46743	47216	-	OAKKFK_00081	212.0	2.6e-69	0.981	0.875	0.649	UniRef:UniRef50_A0A0U1MQN1
contig_7	cds	47472	47690	+	OAKKFK_00082	-	-	-	-	-	-
contig_7	cds	48163	48744	-	OAKKFK_00083	232.0	2.4e-76	1.073	1.005	0.662	UniRef:UniRef50_Q2FXC0
contig_7	cds	49707	50414	+	OAKKFK_00084	-	-	1.0	1.0	0.970	NCBIProtein:ABD31004.1
contig_7	cds	50539	51261	+	OAKKFK_00085	-	-	1.0	1.0	0.988	NCBIProtein:ABD31003.1
contig_7	cds	51319	52038	+	OAKKFK_00086	464.0	5.8e-169	1.0	1.0	0.996	BlastRules:WP_001038867
contig_7	cds	52159	52878	+	OAKKFK_00087	466.0	1.4e-169	1.0	1.0	1.0	BlastRules:WP_001038704
contig_8	cds	269	658	-	OAKKFK_00088	236.0	7.5e-80	0.992	0.955	0.953	UniRef:UniRef50_Q2FZT3
contig_8	cds	987	1889	-	OAKKFK_00089	328.0	1.4e-110	0.990	0.900	0.552	UniRef:UniRef50_Q2FZT4
contig_8	cds	2055	5708	-	OAKKFK_00090	1581.0	0.0	1.002	0.991	0.664	UniRef:UniRef50_Q4L4Y3
contig_8	cds	5712	9185	-	OAKKFK_00091	1637.0	0.0	1.047	0.994	0.671	UniRef:UniRef50_Q2FZT6
contig_8	cds	9345	9920	-	OAKKFK_00092	319.0	9.8e-111	0.995	0.960	0.789	UniRef:UniRef50_Q5HHB9
contig_8	cds	9936	10460	-	OAKKFK_00093	314.0	2.6e-109	0.885	0.806	1.0	UniRef:UniRef50_P0A063
contig_8	cds	10465	11040	-	OAKKFK_00094	355.0	5.3e-125	1.058	1.0	0.941	UniRef:UniRef50_Q2FZT9
contig_8	cds	11365	12696	-	OAKKFK_00095	565.0	2.5e-199	1.011	0.931	0.623	UniRef:UniRef50_Q5WDX0
contig_8	cds	13047	14252	+	OAKKFK_00096	455.0	5.3e-157	0.988	0.850	0.556	UniRef:UniRef50_Q59491
contig_8	cds	14242	15621	+	OAKKFK_00097	706.0	5.8e-255	0.989	0.956	0.756	UniRef:UniRef50_A0A166NND0
contig_8	cds	15863	16792	+	OAKKFK_00098	288.0	5.7e-95	0.845	0.839	0.533	UniRef:UniRef50_A0A9P1JEF8
contig_8	cds	17129	18373	-	OAKKFK_00099	593.0	5.3e-211	0.986	0.841	0.706	UniRef:UniRef50_P39633
contig_8	cds	18482	19672	-	OAKKFK_00100	593.0	2.2e-211	0.997	0.840	0.722	UniRef:UniRef50_P38021
contig_8	cds	19980	21107	-	OAKKFK_00101	719.0	1.5e-262	0.960	0.887	1.0	UniRef:UniRef50_S2YL03
contig_8	cds	21469	21846	-	OAKKFK_00102	-	-	-	-	-	-
contig_8	cds	22261	22854	-	OAKKFK_00103	238.0	3.4e-78	0.990	0.806	0.590	UniRef:UniRef50_A0A7S8CCA1
contig_8	cds	22918	23301	+	OAKKFK_00104	173.0	3.6e-55	0.961	0.897	0.713	UniRef:UniRef50_A0A0M2NU22
contig_8	cds	23432	25837	+	OAKKFK_00105	1503.0	0.0	1.0	1.0	0.996	BlastRules:WP_042727539
contig_8	cds	25830	26258	+	OAKKFK_00106	275.0	3.8e-97	1.0	1.0	1.0	BlastRules:WP_001081626
contig_8	cds	26258	26599	+	OAKKFK_00107	206.0	1.2e-70	1.0	1.0	1.0	BlastRules:WP_000402803
contig_8	cds	26592	28088	+	OAKKFK_00108	906.0	0.0	1.0	1.0	1.0	BlastRules:WP_000573077
contig_8	cds	28090	28569	+	OAKKFK_00109	296.0	7.8e-105	1.0	1.0	1.0	BlastRules:WP_000290674
contig_8	cds	28569	28862	+	OAKKFK_00110	161.0	1.3e-53	1.0	1.0	1.0	BlastRules:WP_001016306
contig_8	cds	28840	29196	+	OAKKFK_00111	203.0	2.1e-69	1.0	1.0	1.0	BlastRules:WP_000590451
contig_8	cds	29445	30599	+	OAKKFK_00112	764.0	1.1e-280	1.010	1.0	0.972	UniRef:UniRef50_Q2G2I0
contig_8	cds	30655	31029	-	OAKKFK_00113	204.0	2.9e-67	1.0	0.912	0.742	UniRef:UniRef50_A0A090LQF4
contig_8	cds	31048	32364	-	OAKKFK_00114	639.0	3.8e-229	0.918	0.901	0.821	UniRef:UniRef50_Q2FZV5
contig_8	cds	32775	34250	-	OAKKFK_00115	960.0	0.0	1.0	0.953	0.990	UniRef:UniRef50_B9DIX2
contig_8	cds	34381	35589	-	OAKKFK_00116	501.0	6.2e-176	1.005	0.993	0.626	UniRef:UniRef50_A0A078M326
contig_8	cds	36043	36402	-	OAKKFK_00117	151.0	1.8e-46	0.975	0.847	0.612	UniRef:UniRef50_O32113
contig_8	cds	36415	36651	-	OAKKFK_00118	102.0	1.4e-28	1.0	0.857	0.590	UniRef:UniRef50_A4ISE9
contig_8	cds	36968	38032	+	OAKKFK_00119	423.0	1.1e-145	0.986	0.806	0.567	UniRef:UniRef50_A0A239ZU84
contig_8	cds	38091	38414	-	OAKKFK_00120	159.0	2.8e-50	0.935	0.847	0.730	UniRef:UniRef50_A0A0H3JTK4
contig_8	cds	38515	38757	+	OAKKFK_00121	117.0	3.7e-34	1.012	0.862	0.741	UniRef:UniRef50_A0A1B1N2Y6
contig_8	cds	39020	40195	-	OAKKFK_00122	635.0	8.7e-229	0.974	0.920	0.808	UniRef:UniRef50_Q2FZW3
contig_8	cds	40192	40428	-	OAKKFK_00123	-	-	-	-	-	-
contig_8	cds	40446	41660	-	OAKKFK_00124	796.0	1.7e-294	1.0	1.0	1.0	BlastRules:WP_000613541
contig_8	cds	41657	43114	-	OAKKFK_00125	718.0	7.6e-259	1.008	0.998	0.724	UniRef:UniRef50_P68876
contig_8	cds	43130	43282	-	OAKKFK_00126	74.3	2.7e-18	0.800	0.816	0.875	UniRef:UniRef50_A0A7V8AX21
contig_8	cds	43694	44653	-	OAKKFK_00127	362.0	1.4e-123	0.994	0.978	0.546	UniRef:UniRef50_A0A1W7ABE9
contig_8	cds	44686	45465	-	OAKKFK_00128	502.0	7.0e-181	1.0	0.974	0.988	UniRef:UniRef50_Q2FZX0
contig_8	cds	45465	45899	-	OAKKFK_00129	199.0	1.3e-64	0.979	0.892	0.688	UniRef:UniRef50_A0A077UTM6
contig_8	cds	45997	46263	+	OAKKFK_00130	180.0	6.2e-59	1.0	0.871	1.0	UniRef:UniRef50_Q2FZX2
contig_9	cds	239	1105	+	OAKKFK_00131	385.0	3.3e-133	0.993	0.885	0.664	UniRef:UniRef50_A0A6N8U412
contig_9	cds	1316	2059	-	OAKKFK_00132	470.0	7.8e-171	1.0	1.0	1.0	BlastRules:WP_000386367
contig_9	cds	2383	2739	+	OAKKFK_00133	229.0	8.9e-80	1.0	1.0	0.992	BlastRules:WP_000998869
contig_9	cds	3044	5623	+	OAKKFK_00134	1400.0	0.0	1.314	1.0	0.760	UniRef:UniRef50_A0A2Z6G142
contig_9	cds	6007	7083	+	OAKKFK_00135	640.0	1.7e-231	1.0	0.867	0.978	UniRef:UniRef50_A0A0M2NSQ1
contig_9	cds	7243	7413	+	OAKKFK_00136	-	-	-	-	-	-
contig_9	cds	7521	7829	-	OAKKFK_00137	177.0	3.0e-57	1.0	0.872	0.980	UniRef:UniRef50_Q2G2B5
contig_9	cds	7973	8239	-	OAKKFK_00138	-	-	-	-	-	-
contig_9	cds	8523	10160	-	OAKKFK_00139	1077.0	0.0	1.0	0.892	1.0	UniRef:UniRef50_Q2FVC1
contig_9	cds	10463	10855	+	OAKKFK_00140	188.0	1.0e-60	0.969	0.840	0.714	UniRef:UniRef50_A0A9X0XK58
contig_9	cds	10857	12188	+	OAKKFK_00141	-	-	-	-	-	-
contig_9	cds	12228	13718	+	OAKKFK_00142	-	-	-	-	-	-
contig_9	cds	14022	14798	+	OAKKFK_00143	327.0	1.1e-111	0.996	0.948	0.623	UniRef:UniRef50_Q2G0X0
contig_10	ncRNA	27	84	+	OAKKFK_00144	81.9	3.3e-12	-	-	-	RFAM:RF02396
contig_10	cds	210	812	-	OAKKFK_00145	244.0	1.6e-80	1.0	0.855	0.635	UniRef:UniRef50_Q82ZI6
contig_10	cds	1056	1520	-	OAKKFK_00146	166.0	2.4e-51	0.994	0.895	0.536	UniRef:UniRef50_A0A0M2P628
contig_10	cds	1657	3351	+	OAKKFK_00147	675.0	3.7e-239	0.996	0.976	0.667	UniRef:UniRef50_Q5HNI8
contig_10	cds	3698	4864	+	OAKKFK_00148	474.0	6.5e-165	0.974	0.844	0.638	UniRef:UniRef50_A0A0D6HH30
contig_10	cds	4864	6087	+	OAKKFK_00149	580.0	7.3e-207	0.995	0.995	0.701	UniRef:UniRef50_Q4L756
contig_10	cds	6131	6901	+	OAKKFK_00150	310.0	4.3e-105	0.988	0.984	0.640	UniRef:UniRef50_A0A2T4MSB8
contig_10	cds	6999	7493	+	OAKKFK_00151	206.0	1.3e-66	0.982	0.813	0.640	UniRef:UniRef50_P80864
contig_10	cds	7616	8563	+	OAKKFK_00152	456.0	5.8e-161	0.997	0.957	0.713	UniRef:UniRef50_B9DN82
contig_10	cds	8651	9853	+	OAKKFK_00153	566.0	1.2e-200	0.988	0.837	0.709	UniRef:UniRef50_O52594
contig_10	cds	10099	10599	-	OAKKFK_00154	321.0	1.9e-112	0.988	0.937	1.0	UniRef:UniRef50_Q2FXL6
contig_10	cds	10740	11858	+	OAKKFK_00155	490.0	8.3e-172	0.995	0.879	0.668	UniRef:UniRef50_P17556
contig_10	cds	12174	13229	-	OAKKFK_00156	705.0	2.9e-258	1.0	0.980	1.0	UniRef:UniRef50_Q7A552
contig_10	cds	13404	14093	+	OAKKFK_00157	468.0	1.8e-168	1.0	0.931	1.0	UniRef:UniRef50_Q2FXM0
contig_10	cds	14398	14811	-	OAKKFK_00158	241.0	1.5e-81	0.949	0.909	1.0	UniRef:UniRef50_Q2FXM1
contig_10	cds	15016	16314	+	OAKKFK_00159	525.0	5.2e-184	0.998	0.933	0.580	UniRef:UniRef50_A0A7U7JV62
contig_10	cds	16626	17567	+	OAKKFK_00160	626.0	2.3e-230	1.0	1.0	0.990	BlastRules:WP_000626074
contig_10	cds	17588	20785	+	OAKKFK_00161	2016.0	0.0	0.985	0.941	0.974	UniRef:UniRef50_Q9F1K0
contig_10	cds	21235	22464	+	OAKKFK_00162	459.0	1.1e-158	0.980	0.901	0.574	UniRef:UniRef50_O34962
contig_10	cds	22659	23516	+	OAKKFK_00163	323.0	1.0e-108	0.986	0.826	0.587	UniRef:UniRef50_Q24XY8
contig_10	cds	23516	24460	+	OAKKFK_00164	343.0	8.8e-116	0.990	0.829	0.566	UniRef:UniRef50_Q9HXZ2
contig_10	cds	24729	25697	+	OAKKFK_00165	525.0	7.0e-188	1.0	0.970	0.795	UniRef:UniRef50_Q8CS68
contig_10	cds	25719	27476	+	OAKKFK_00166	794.0	3.6e-285	1.0	0.954	0.694	UniRef:UniRef50_Q02499
contig_10	cds	27824	29185	-	OAKKFK_00167	568.0	1.8e-199	1.146	0.977	0.557	UniRef:UniRef50_Q2FXN2
contig_10	cds	29533	30654	+	OAKKFK_00168	452.0	1.6e-156	0.984	0.821	0.616	UniRef:UniRef50_P39120
contig_10	cds	30703	31971	+	OAKKFK_00169	648.0	1.6e-232	0.991	0.869	0.773	UniRef:UniRef50_Q5HNL1
contig_10	cds	32361	33065	+	OAKKFK_00170	310.0	7.9e-106	0.991	0.917	0.681	UniRef:UniRef50_P13792
contig_10	cds	33062	34726	+	OAKKFK_00171	570.0	2.7e-198	1.020	0.988	0.547	UniRef:UniRef50_A0A380G833
contig_10	cds	35225	36712	+	OAKKFK_00172	939.0	0.0	1.0	1.0	0.986	UniRef:UniRef50_Q2FXN8
contig_10	cds	37006	39636	+	OAKKFK_00173	1431.0	0.0	1.0	0.970	0.829	UniRef:UniRef50_K9B5S8
contig_10	cds	39652	40524	+	OAKKFK_00174	333.0	3.9e-113	1.0	0.993	0.569	UniRef:UniRef50_A0A9Q4H0I6
contig_10	cds	40540	41163	+	OAKKFK_00175	397.0	3.9e-141	1.0	0.920	1.0	UniRef:UniRef50_Q49YB9
contig_10	cds	41333	42358	+	OAKKFK_00176	341.0	2.5e-114	0.979	0.898	0.509	UniRef:UniRef50_O34425
contig_10	cds	42569	43039	+	OAKKFK_00177	171.0	3.3e-53	0.981	0.864	0.529	UniRef:UniRef50_P67319
contig_10	cds	43040	44440	+	OAKKFK_00178	489.0	3.0e-169	0.871	0.866	0.631	UniRef:UniRef50_A0A7X9ZKD6
contig_10	cds	44440	45360	+	OAKKFK_00179	613.0	2.4e-223	1.0	0.978	1.0	UniRef:UniRef50_Q2FXP5
contig_10	cds	45773	47710	+	OAKKFK_00180	923.0	0.0	0.989	0.867	0.715	UniRef:UniRef50_P18255
contig_10	ncRNA-region	47816	47991	+	-	120.0	7.4e-18	-	-	-	RFAM:RF00168
contig_10	cds	48136	49629	+	OAKKFK_00181	508.0	1.0e-174	0.974	0.834	0.552	UniRef:UniRef50_A2RNZ6
contig_10	ncRNA-region	49704	49829	+	-	84.0	3.0e-12	-	-	-	RFAM:RF00558
contig_10	cds	49825	50385	+	OAKKFK_00182	202.0	1.4e-64	0.957	0.852	0.567	UniRef:UniRef50_A0A7V3BTI7
contig_10	cds	50414	50614	+	OAKKFK_00183	75.1	5.2e-18	0.970	0.842	0.609	UniRef:UniRef50_P55874
contig_10	cds	50661	51017	+	OAKKFK_00184	172.0	1.2e-54	0.966	0.809	0.772	UniRef:UniRef50_Q9RSW7
contig_10	cds	51159	51767	+	OAKKFK_00185	231.0	3.2e-75	1.0	0.835	0.584	UniRef:UniRef50_Q2FXQ3
contig_10	cds	51786	52715	+	OAKKFK_00186	336.0	9.2e-114	0.984	0.947	0.566	UniRef:UniRef50_Q5HNM7
contig_10	cds	52878	54179	+	OAKKFK_00187	429.0	4.3e-146	0.991	0.907	0.552	UniRef:UniRef50_P80698
contig_10	cds	54330	55592	+	OAKKFK_00188	540.0	6.9e-190	0.940	0.844	0.686	UniRef:UniRef50_Q833M7
contig_10	cds	55746	56336	+	OAKKFK_00189	233.0	1.6e-76	0.985	0.873	0.580	UniRef:UniRef50_Q180E5
contig_10	cds	56553	57899	+	OAKKFK_00190	460.0	2.0e-157	0.938	0.824	0.564	UniRef:UniRef50_Q65GJ9
contig_10	cds	57921	58736	+	OAKKFK_00191	482.0	1.3e-172	1.0	0.954	0.974	UniRef:UniRef50_Q2FXR0
contig_10	cds	58778	59704	+	OAKKFK_00192	317.0	4.2e-106	0.987	0.927	0.520	UniRef:UniRef50_O34090
contig_10	cds	59726	60394	+	OAKKFK_00193	241.0	6.9e-79	1.0	0.974	0.541	UniRef:UniRef50_Q5HNN4
contig_10	cds	60397	61371	+	OAKKFK_00194	432.0	1.2e-150	0.994	0.856	0.655	UniRef:UniRef50_P30950
contig_10	cds	61419	62705	+	OAKKFK_00195	551.0	2.8e-194	0.991	0.902	0.637	UniRef:UniRef50_Q2S1S3
contig_10	cds	62907	63974	+	OAKKFK_00196	392.0	7.4e-134	0.989	0.877	0.604	UniRef:UniRef50_Q2FXR6
contig_10	cds	64197	64757	-	OAKKFK_00197	390.0	5.2e-139	1.0	0.935	1.0	UniRef:UniRef50_Q2FXR7
contig_10	ncRNA-region	64815	65116	+	-	103.1	4.2e-14	-	-	-	RFAM:RF00230
contig_10	cds	65160	67790	+	OAKKFK_00198	1145.0	0.0	1.002	0.951	0.618	UniRef:UniRef50_P36420
contig_10	cds	67803	69074	+	OAKKFK_00199	812.0	8.4e-298	0.991	0.923	0.986	UniRef:UniRef50_Q2FXR9
contig_10	cds	69344	70051	+	OAKKFK_00200	434.0	5.1e-155	1.0	0.975	1.0	UniRef:UniRef50_A0A077UH67
contig_10	cds	70048	70602	+	OAKKFK_00201	343.0	1.7e-120	1.0	0.995	0.984	UniRef:UniRef50_A0A133QAD4
contig_12	cds	1415	1711	+	OAKKFK_00202	171.0	2.9e-55	0.990	0.874	0.866	UniRef:UniRef50_Q2G1R1
contig_12	cds	1919	2521	+	OAKKFK_00203	354.0	3.7e-124	1.085	1.0	0.908	UniRef:UniRef50_A0A6G4N7I9
contig_12	cds	2788	5940	+	OAKKFK_00204	1163.0	0.0	1.017	0.994	0.567	UniRef:UniRef50_Q4A109
contig_12	cds	5997	6479	+	OAKKFK_00205	281.0	9.7e-97	1.0	0.879	0.938	UniRef:UniRef50_Q2G1Q3
contig_12	cds	6685	7671	+	OAKKFK_00206	645.0	3.4e-235	0.988	0.956	0.988	UniRef:UniRef50_Q2G1Q2
contig_12	cds	7892	8662	+	OAKKFK_00207	401.0	2.5e-140	1.211	0.997	0.674	UniRef:UniRef50_Q7A7G4
contig_12	cds	8730	9497	+	OAKKFK_00208	397.0	5.7e-139	1.216	0.997	0.687	UniRef:UniRef50_Q7A7G4
contig_12	cds	9564	10331	+	OAKKFK_00209	464.0	8.8e-165	1.314	1.0	0.755	UniRef:UniRef50_Q2G1Q1
contig_12	cds	10428	12665	+	OAKKFK_00210	1474.0	0.0	1.003	1.0	0.975	UniRef:UniRef50_Q5HJR8
contig_12	cds	12816	13994	+	OAKKFK_00211	689.0	3.9e-250	1.097	1.0	0.800	UniRef:UniRef50_A0A1W7A8D6
contig_12	cds	13996	15384	+	OAKKFK_00212	619.0	4.7e-220	0.981	0.895	0.702	UniRef:UniRef50_Q2FYJ5
contig_12	cds	15868	17535	-	OAKKFK_00213	833.0	6.7e-302	0.986	0.979	0.797	UniRef:UniRef50_Q2G1P4
contig_12	cds	17854	19629	-	OAKKFK_00214	724.0	1.1e-257	1.008	0.968	0.619	UniRef:UniRef50_B5XK69
contig_12	cds	19803	20675	-	OAKKFK_00215	297.0	8.0e-99	0.966	0.915	0.532	UniRef:UniRef50_Q2G1P2
