# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_8	cds	43130	43282	-	OAKKFK_00126	dltX	Teichoic acid D-Ala incorporation-associated protein DltX	SO:0001217, UniRef:UniRef50_A0A7V8AX21
contig_8	cds	43694	44653	-	OAKKFK_00127		D-lactate dehydrogenase	SO:0001217, UniRef:UniRef50_A0A1W7ABE9
contig_8	cds	44686	45465	-	OAKKFK_00128		Acid sugar phosphatase	SO:0001217, UniRef:UniRef50_Q2FZX0
contig_8	cds	45465	45899	-	OAKKFK_00129		DUF86 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A077UTM6
contig_8	cds	45997	46263	+	OAKKFK_00130		Cytosolic protein	SO:0001217, UniRef:UniRef50_Q2FZX2
contig_9	cds	239	1105	+	OAKKFK_00131		UTP--glucose-1-phosphate uridylyltransferase	SO:0001217, UniRef:UniRef50_A0A6N8U412
contig_9	cds	1316	2059	-	OAKKFK_00132	sarU	HTH-type transcriptional regulator SarU	BlastRules:WP_000386367, SO:0001217, UniRef:UniRef50_Q2G1T7
contig_9	cds	2383	2739	+	OAKKFK_00133	sarT	HTH-type transcriptional regulator SarT	BlastRules:WP_000998869, SO:0001217, UniRef:UniRef50_Q2G2B1
contig_9	cds	3044	5623	+	OAKKFK_00134		Saphylococcus aureus surface protein G	SO:0001217, UniRef:UniRef50_A0A2Z6G142
contig_9	cds	6007	7083	+	OAKKFK_00135		Major facilitator superfamily (MFS) profile domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0M2NSQ1
contig_9	cds	7243	7413	+	OAKKFK_00136		hypothetical protein	
contig_9	cds	7521	7829	-	OAKKFK_00137		DUF3784 domain-containing protein	SO:0001217, UniRef:UniRef50_Q2G2B5
contig_9	cds	7973	8239	-	OAKKFK_00138		hypothetical protein	
contig_9	cds	8523	10160	-	OAKKFK_00139		Phosphoglucomutase	SO:0001217, UniRef:UniRef50_Q2FVC1
contig_9	cds	10463	10855	+	OAKKFK_00140		8-oxo-dGTP diphosphatase	SO:0001217, UniRef:UniRef50_A0A9X0XK58
contig_9	cds	10857	12188	+	OAKKFK_00141		hypothetical protein	PFAM:PF00270.35, PFAM:PF13091.12
contig_9	cds	12228	13718	+	OAKKFK_00142		hypothetical protein	PFAM:PF00271.37
contig_9	cds	14022	14798	+	OAKKFK_00143		Uncharacterized lipoprotein SAOUHSC_00404	SO:0001217, UniRef:UniRef50_Q2G0X0
contig_10	ncRNA	27	84	+	OAKKFK_00144	sau-5949	Staphylococcus sRNA sau-5949	RFAM:RF02396, SO:0000655
contig_10	cds	210	812	-	OAKKFK_00145		Small ribosomal subunit protein uS4	SO:0001217, UniRef:UniRef50_Q82ZI6
contig_10	cds	1056	1520	-	OAKKFK_00146		Free methionine-(R)-sulfoxide reductase	SO:0001217, UniRef:UniRef50_A0A0M2P628
contig_10	cds	1657	3351	+	OAKKFK_00147	ezrA	Septation ring formation regulator EzrA	SO:0001217, UniRef:UniRef50_Q5HNI8
contig_10	cds	3698	4864	+	OAKKFK_00148		Aminotransferase	SO:0001217, UniRef:UniRef50_A0A0D6HH30
contig_10	cds	4864	6087	+	OAKKFK_00149		putative tRNA sulfurtransferase	SO:0001217, UniRef:UniRef50_Q4L756
contig_10	cds	6131	6901	+	OAKKFK_00150		putative membrane transporter protein	SO:0001217, UniRef:UniRef50_A0A2T4MSB8
contig_10	cds	6999	7493	+	OAKKFK_00151		Thiol peroxidase	SO:0001217, UniRef:UniRef50_P80864
contig_10	cds	7616	8563	+	OAKKFK_00152		DNA methylase adenine-specific domain-containing protein	SO:0001217, UniRef:UniRef50_B9DN82
contig_10	cds	8651	9853	+	OAKKFK_00153		Acetate kinase	SO:0001217, UniRef:UniRef50_O52594
contig_10	cds	10099	10599	-	OAKKFK_00154		Putative universal stress protein SAOUHSC_01819	SO:0001217, UniRef:UniRef50_Q2FXL6
contig_10	cds	10740	11858	+	OAKKFK_00155		Alanine dehydrogenase	SO:0001217, UniRef:UniRef50_P17556
contig_10	cds	12174	13229	-	OAKKFK_00156		Uncharacterized peptidase SA1530	SO:0001217, UniRef:UniRef50_Q7A552
contig_10	cds	13404	14093	+	OAKKFK_00157		UPF0173 metal-dependent hydrolase SAOUHSC_01815	SO:0001217, UniRef:UniRef50_Q2FXM0
contig_10	cds	14398	14811	-	OAKKFK_00158	uspA	UspA domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FXM1
contig_10	cds	15016	16314	+	OAKKFK_00159		CBS domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7U7JV62
contig_10	cds	16626	17567	+	OAKKFK_00160	pde2	pApA hydrolase Pde2	BlastRules:WP_000626074, SO:0001217, UniRef:UniRef50_A0A7U7JV59
contig_10	cds	17588	20785	+	OAKKFK_00161		DNA polymerase III subunit alpha	SO:0001217, UniRef:UniRef50_Q9F1K0
contig_10	cds	21235	22464	+	OAKKFK_00162		Bifunctional malic/malolactic enzyme	SO:0001217, UniRef:UniRef50_O34962
contig_10	cds	22659	23516	+	OAKKFK_00163		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	SO:0001217, UniRef:UniRef50_Q24XY8
contig_10	cds	23516	24460	+	OAKKFK_00164		Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	SO:0001217, UniRef:UniRef50_Q9HXZ2
contig_10	cds	24729	25697	+	OAKKFK_00165		ATP-dependent 6-phosphofructokinase	SO:0001217, UniRef:UniRef50_Q8CS68
contig_10	cds	25719	27476	+	OAKKFK_00166		Pyruvate kinase	SO:0001217, UniRef:UniRef50_Q02499
contig_10	cds	27824	29185	-	OAKKFK_00167		Amino acid permease/ SLC12A domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FXN2
contig_10	cds	29533	30654	+	OAKKFK_00168		Citrate synthase 2	SO:0001217, UniRef:UniRef50_P39120
contig_10	cds	30703	31971	+	OAKKFK_00169		Isocitrate dehydrogenase [NADP]	SO:0001217, UniRef:UniRef50_Q5HNL1
contig_10	cds	32361	33065	+	OAKKFK_00170	phoP	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	SO:0001217, UniRef:UniRef50_P13792
contig_10	cds	33062	34726	+	OAKKFK_00171	walK	Sensor protein kinase WalK	SO:0001217, UniRef:UniRef50_A0A380G833
contig_10	cds	35225	36712	+	OAKKFK_00172		Glucosyltransferase	SO:0001217, UniRef:UniRef50_Q2FXN8
contig_10	cds	37006	39636	+	OAKKFK_00173		DNA polymerase I	SO:0001217, UniRef:UniRef50_K9B5S8
contig_10	cds	39652	40524	+	OAKKFK_00174		Formamidopyrimidine-DNA glycosylase	SO:0001217, UniRef:UniRef50_A0A9Q4H0I6
contig_10	cds	40540	41163	+	OAKKFK_00175		Dephospho-CoA kinase	SO:0001217, UniRef:UniRef50_Q49YB9
contig_10	cds	41333	42358	+	OAKKFK_00176		Glyceraldehyde-3-phosphate dehydrogenase 2	SO:0001217, UniRef:UniRef50_O34425
contig_10	cds	42569	43039	+	OAKKFK_00177	nrdR	Transcriptional repressor NrdR	SO:0001217, UniRef:UniRef50_P67319
contig_10	cds	43040	44440	+	OAKKFK_00178	dnaB	Helicase DnaB	SO:0001217, UniRef:UniRef50_A0A7X9ZKD6
contig_10	cds	44440	45360	+	OAKKFK_00179	dnaI	Primosomal protein DnaI	SO:0001217, UniRef:UniRef50_Q2FXP5
contig_10	cds	45773	47710	+	OAKKFK_00180		Threonine--tRNA ligase 1	SO:0001217, UniRef:UniRef50_P18255
contig_10	ncRNA-region	47816	47991	+			Lysine riboswitch aptamer	RFAM:RF00168, SO:0000035
contig_10	cds	48136	49629	+	OAKKFK_00181	lysP	Lysine-specific permease LysP	SO:0001217, UniRef:UniRef50_A2RNZ6
contig_10	ncRNA-region	49704	49829	+			Ribosomal protein L20 leader	RFAM:RF00558, SO:0000140
contig_10	cds	49825	50385	+	OAKKFK_00182		Translation initiation factor IF-3	SO:0001217, UniRef:UniRef50_A0A7V3BTI7
contig_10	cds	50414	50614	+	OAKKFK_00183		Large ribosomal subunit protein bL35	SO:0001217, UniRef:UniRef50_P55874
contig_10	cds	50661	51017	+	OAKKFK_00184		Large ribosomal subunit protein bL20	SO:0001217, UniRef:UniRef50_Q9RSW7
contig_10	cds	51159	51767	+	OAKKFK_00185		Nudix hydrolase domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FXQ3
contig_10	cds	51786	52715	+	OAKKFK_00186		Tetratricopeptide repeat protein	SO:0001217, UniRef:UniRef50_Q5HNM7
contig_10	cds	52878	54179	+	OAKKFK_00187		Trigger factor	SO:0001217, UniRef:UniRef50_P80698
contig_10	cds	54330	55592	+	OAKKFK_00188	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	SO:0001217, UniRef:UniRef50_Q833M7
contig_10	cds	55746	56336	+	OAKKFK_00189	engB	putative GTP-binding protein EngB	SO:0001217, UniRef:UniRef50_Q180E5
contig_10	cds	56553	57899	+	OAKKFK_00190		Glutamyl-tRNA reductase	SO:0001217, UniRef:UniRef50_Q65GJ9
contig_10	cds	57921	58736	+	OAKKFK_00191		Cytochrome c assembly protein domain-containing protein	SO:0001217, UniRef:UniRef50_Q2FXR0
contig_10	cds	58778	59704	+	OAKKFK_00192		Porphobilinogen deaminase	SO:0001217, UniRef:UniRef50_O34090
contig_10	cds	59726	60394	+	OAKKFK_00193		Uroporphyrinogen-III synthase	SO:0001217, UniRef:UniRef50_Q5HNN4
contig_10	cds	60397	61371	+	OAKKFK_00194		Delta-aminolevulinic acid dehydratase	SO:0001217, UniRef:UniRef50_P30950
contig_10	cds	61419	62705	+	OAKKFK_00195		Glutamate-1-semialdehyde 2,1-aminomutase	SO:0001217, UniRef:UniRef50_Q2S1S3
contig_10	cds	62907	63974	+	OAKKFK_00196	abrB	AbrB family transcriptional regulator	SO:0001217, UniRef:UniRef50_Q2FXR6
contig_10	cds	64197	64757	-	OAKKFK_00197		DNA-3-methyladenine glycosylase I	SO:0001217, UniRef:UniRef50_Q2FXR7
contig_10	ncRNA-region	64815	65116	+			T-box leader	RFAM:RF00230, SO:0000140
